Company_Name,Sector,Funding_round,Amount_raised,Sub-sector,Source Website
Amogy,Energy,Series B-2,$49.9MM,Clean Energy,https://forgeglobal.com/search-companies/?page=39
Amount,Fintech,Series Lin-3,$15.92MM,Fintech Software,https://forgeglobal.com/search-companies/?page=104
AMP Robotics,Industrial,Series D,$91.72MM,Robotics,https://forgeglobal.com/search-companies/?page=8
Amperity,Enterprise Software,Series D,$100.22MM,Data Intelligence,https://forgeglobal.com/search-companies/?page=33
Ampersand Biomedicines,Healthcare,Series B,$65MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=155
Ample,Energy,Series C-3,$293.48MM,Clean Energy,https://forgeglobal.com/search-companies/?page=104
Amplify,Education,Series C,$267.1MM,Other Education,https://forgeglobal.com/search-companies/?page=35
Amplitude,Enterprise Software,Series F,$116.48MM,Data Intelligence,https://forgeglobal.com/search-companies/?page=90
Amprius,Energy,Series E-2,$50MM,Energy Storage,https://forgeglobal.com/search-companies/?page=73
Amylyx,Healthcare,Series C-1,$107.33MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=153
Anaconda,Enterprise Software,Series C-1,$101.45MM,Data Intelligence,https://forgeglobal.com/search-companies/?page=52
Analog,Fintech,--,--,Blockchain Software,https://forgeglobal.com/search-companies/?page=111
Anchorage,Fintech,Series D-2,$80.77MM,Blockchain,https://forgeglobal.com/search-companies/?page=57
AnchorDx,Healthcare,--,--,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=111
ANDE,Healthcare,--,--,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=77
Andela,Consumer & Lifestyle,Series E,$150MM,E-commerce,https://forgeglobal.com/search-companies/?page=58
Andium,Enterprise Software,Series B-4,$4.12MM,Data Intelligence,https://forgeglobal.com/search-companies/?page=110
AngelList,Fintech,,,Capital Markets,https://forgeglobal.com/search-companies/?page=10
Angle Health,Fintech,Series B,$50.06MM,Insurance,https://forgeglobal.com/search-companies/?page=82
Angstrom,Consumer & Lifestyle,--,--,Consumer & Lifestyle Enterprise Software,https://forgeglobal.com/search-companies/?page=86
Animoca Brands,Consumer & Lifestyle,--,--,Gaming,https://forgeglobal.com/search-companies/?page=77
Ankorstore,Consumer & Lifestyle,--,--,E-commerce,https://forgeglobal.com/search-companies/?page=55
Ankyra Therapeutics,Healthcare,--,--,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=142
Annexon Biosciences,Healthcare,--,--,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=142
Anoma Network,Fintech,--,--,Blockchain Software,https://forgeglobal.com/search-companies/?page=159
Anomali,Enterprise Software,Series D,$40MM,Cybersecurity,https://forgeglobal.com/search-companies/?page=49
Anomalo,Enterprise Software,--,--,Data Management / Storage,https://forgeglobal.com/search-companies/?page=142
Ansa Biotechnologies,Healthcare,Series B Plus,$24.28MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=174
Ansun Biopharma,Healthcare,Series B,$100MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=74
Ant Group,Fintech,--,--,Payments,https://forgeglobal.com/search-companies/?page=41
Antares Nuclear,Energy,Series B-1,$48.13MM,Clean Energy,https://forgeglobal.com/search-companies/?page=15
Antheia,Healthcare,Series C-1,$73.99MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=140
Antimatter,Enterprise Software,--,--,Cybersecurity,https://forgeglobal.com/search-companies/?page=26
Antiva Biosciences,Healthcare,--,--,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=98
Antora Energy,Energy,Series B,$66MM,Energy Storage,https://forgeglobal.com/search-companies/?page=36
Anvilogic,Enterprise Software,--,--,Cybersecurity,https://forgeglobal.com/search-companies/?page=19
Anyroad,Enterprise Software,Series B,$47MM,Sales & Marketing / Adtech,https://forgeglobal.com/search-companies/?page=107
Anyscale,Enterprise Software,Series C,$199.19MM,Software Development,https://forgeglobal.com/search-companies/?page=15
Anysphere (Cursor AI),Enterprise Software,Series D,$1.98B,Data Intelligence,https://forgeglobal.com/search-companies/?page=4
AnyVision,Enterprise Software,--,--,Data Intelligence,https://forgeglobal.com/search-companies/?page=111
Anyword,Enterprise Software,--,--,Sales & Marketing / Adtech,https://forgeglobal.com/search-companies/?page=98
Apartment List,Real Estate,Series D,$60MM,Real Estate Software,https://forgeglobal.com/search-companies/?page=44
Apeel,Foodtech,Series E,$250MM,Agtech,https://forgeglobal.com/search-companies/?page=31
Aper,Fintech,--,--,Fintech Software,https://forgeglobal.com/search-companies/?page=142
Aperia Technologies,Transportation,Series D,$48.41MM,Other Transportation,https://forgeglobal.com/search-companies/?page=109
Apex,Industrial,Series D,$161.23MM,Aerospace & Defense,https://forgeglobal.com/search-companies/?page=22
Apexigen,Healthcare,Series C,$127.86MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=137
Apifiny,Fintech,--,--,Other Fintech,https://forgeglobal.com/search-companies/?page=176
Apkudo,Enterprise Software,--,--,Business Operations,https://forgeglobal.com/search-companies/?page=125
Apnimed,Healthcare,Series D-1,$35MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=40
Apogee Therapeutics,Healthcare,--,--,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=125
Apollo,Enterprise Software,Series D,$100.65MM,Sales & Marketing / Adtech,https://forgeglobal.com/search-companies/?page=3
Apollo Graph,Enterprise Software,Series D,$130MM,Software Development,https://forgeglobal.com/search-companies/?page=52
Aporia,Enterprise Software,--,--,Data Intelligence,https://forgeglobal.com/search-companies/?page=86
AppDirect,Enterprise Software,Series H-1,$105.73MM,Business Operations,https://forgeglobal.com/search-companies/?page=27
Appfire,Enterprise Software,--,--,Other Enterprise Software,https://forgeglobal.com/search-companies/?page=142
ApplePie Capital,Fintech,Series C,$6.52MM,Other Fintech,https://forgeglobal.com/search-companies/?page=61
Applied Compute,Enterprise Software,Series B,$75MM,Communication & Collaboration Software,https://forgeglobal.com/search-companies/?page=15
Applied Intuition,Industrial,Series F,$220.56MM,Industrial Software,https://forgeglobal.com/search-companies/?page=7
Applied Medical Resources,Healthcare,--,--,Medical Devices,https://forgeglobal.com/search-companies/?page=61
AppLovin,Enterprise Software,--,--,Sales & Marketing / Adtech,https://forgeglobal.com/search-companies/?page=98
ApplyBoard,Education,--,--,E-Learning,https://forgeglobal.com/search-companies/?page=111
AppOmni,Enterprise Software,Series C,$70MM,Cybersecurity,https://forgeglobal.com/search-companies/?page=135
Apprentice,Healthcare,Series C,$151.97MM,Healthcare Software,https://forgeglobal.com/search-companies/?page=170
Apprentice.io,Enterprise Software,--,--,Business Operations,https://forgeglobal.com/search-companies/?page=159
AppsFlyer,Enterprise Software,--,--,Sales & Marketing / Adtech,https://forgeglobal.com/search-companies/?page=68
Apptronik,Industrial,Series A-X1,$441.21MM,Robotics,https://forgeglobal.com/search-companies/?page=3
AppZen,Fintech,Series D,$180MM,Fintech Software,https://forgeglobal.com/search-companies/?page=119
